Complexity,Loss,Equation
1,22.656214,"x1"
3,2.4246085,"x2 * x1"
5,0.13649385,"x1 * (x2 * 0.8035196)"
7,0.13578765,"(x2 * 0.8069524) * (x1 - 0.018842207)"
9,0.13450997,"(x2 * ((x1 * 0.80698675) - 0.025975099)) + 0.044486977"
11,0.12593299,"((x2 + (-0.026026277 / (x2 + -6.550721))) * 0.8018072) * x1"
13,0.123412594,"(x2 * ((-0.0017182988 / (0.5428363 - (x1 / x2))) + 0.8013805)) * x1"
15,0.12134661,"(((0.16665316 / ((-0.64813435 / x1) - x2)) + 0.7819946) * (x2 + 0.3353774)) * x1"
17,0.1143597,"(((-0.02437113 / (((9.18593 / (x1 - x2)) + x2) - x1)) + 0.80423546) * x2) * x1"
19,0.09852743,"x1 * ((x2 * 0.7878913) + ((0.11860952 / x2) / (((x2 + (x1 / x2)) / 0.68103355) - x1)))"
21,0.096732154,"(((0.09521832 / x2) / (((x2 + (x1 / x2)) / 0.73264843) - (x1 * 0.93612117))) + x2) * (x1 * 0.7913264)"
23,0.094502054,"x1 * (((x2 * 0.79434824) - 0.02209483) + ((0.09479156 / x2) / (((x2 + (x1 / x2)) / 0.864164) - (x1 * 0.78897285))))"
25,0.09428172,"((((0.10471462 / x2) / ((((x1 / x2) + x2) / 0.72665995) - (x1 * 0.9405953))) + (x2 * 0.79289484)) + -0.021586586) * (x1 - -0.008480882)"
27,0.09384955,"(((0.099849634 / (-0.043151714 + x2)) / ((((x1 / x2) + x2) / 0.7286908) - (x1 * 0.93899906))) + ((x2 * 0.7946781) + -0.02467388)) * (x1 - -0.008341798)"
29,0.09268013,"(((((x1 - x2) / x2) * 0.1719149) / (((x2 + (x1 / x2)) / 0.7727778) - (x1 * 0.880912))) + ((x1 * 0.7987194) * (x2 - 0.062111646))) + 0.038127437"
